Slip,G-Level,Average Dimensionless Power,Average DP/W,Maximum z/L
20,1-g,0.02098839271190684,0.09116266617014568,0.062262904285994916
70,1-g,0.0293621098385602,0.21972404980651436,0.14123867794002995
20,1-g,0.019990058635195925,0.0972778604934738,0.08393818297309084
70,1-g,0.03029108939801719,0.24981884656819991,0.1599846970331356
20,lunar-g,0.018833120987827315,0.10183266191728658,0.05680437082513385
20,lunar-g,0.019139396973468944,0.12145705347567376,0.07209905884913453
20,lunar-g,0.018422741362906312,0.1444001993004738,0.048910602054500096
20,lunar-g,0.01825431555760522,0.0944089461295062,0.07837905551824498
20,1-g,0.018721325258187895,0.07035249955908451,0.04524324834808095
70,lunar-g,0.03359081889680933,0.290230907256324,0.11967342568935653
70,lunar-g,0.03311601150717636,0.32847938456944814,0.09764298683268766
70,lunar-g,0.0332702888508159,0.3334719895528623,0.10546602722068794
70,1-g,0.02904921108021537,0.2259693013019431,0.10958801899688425
